□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,,,,,,,,,,,,,,,,,
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,
계약일자 : 2025-04-21 ~ 2026-04-21,,,,,,,,,,,,,,,,,
실거래구분 : 단독다가구(전월세),,,,,,,,,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,,,,,,,,
시도 : 인천광역시,,,,,,,,,,,,,,,,,
시군구 : 미추홀구,,,,,,,,,,,,,,,,,
읍면동 : 용현동,,,,,,,,,,,,,,,,,
면적 : 60㎡이하,,,,,,,,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,,,,,,,,
NO,시군구,번지,도로조건,계약면적(㎡),전월세구분,계약년월,계약일,보증금(만원),월세금(만원),건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금(만원),종전계약 월세(만원),주택유형
1,인천광역시 미추홀구 용현동,5**,25m미만,23,월세,202604,11,500,45,2021,능해길,202604~202704,신규,-,,,단독다가구
2,인천광역시 미추홀구 용현동,4*,8m미만,17,월세,202604,6,300,45,,한나루로463번길,202604~202612,신규,-,,,단독다가구
3,인천광역시 미추홀구 용현동,6**,8m미만,20,월세,202604,4,300,45,2016,낙섬서로10번길,202604~202704,신규,-,,,단독다가구
4,인천광역시 미추홀구 용현동,6**,8m미만,20,전세,202604,4,"4,000",0,2009,낙섬서로18번길,202604~202704,신규,-,,,단독다가구
5,인천광역시 미추홀구 용현동,6**,12m미만,45,월세,202604,3,"1,000",60,2013,낙섬중로35번길,202605~202805,신규,-,,,단독다가구
6,인천광역시 미추홀구 용현동,8*,12m미만,20,월세,202604,3,200,30,1998,한나루로477번길,202604~202701,신규,-,,,단독다가구
7,인천광역시 미추홀구 용현동,6**,8m미만,45,전세,202604,3,"4,000",0,1995,토금북로57번길,202604~202804,갱신,-,"3,500",0,단독다가구
8,인천광역시 미추홀구 용현동,6**,25m미만,50,월세,202603,28,"1,000",60,2016,토금북로,202604~202804,신규,-,,,단독다가구
9,인천광역시 미추홀구 용현동,6**,8m미만,24.5,월세,202603,26,100,35,2009,낙섬서로18번길,202603~202703,신규,-,,,단독다가구
10,인천광역시 미추홀구 용현동,6**,12m미만,47,월세,202603,25,"2,900",25,2016,낙섬중로77번길,202603~202803,신규,-,,,단독다가구
11,인천광역시 미추홀구 용현동,4*,8m미만,14,월세,202603,22,100,24,2014,재넘이길,-,-,-,,,단독다가구
12,인천광역시 미추홀구 용현동,6**,12m미만,30,월세,202603,22,500,38,1988,용오로,202603~202703,신규,-,,,단독다가구
13,인천광역시 미추홀구 용현동,6**,25m미만,50,월세,202603,20,"1,000",60,2013,낙섬중로,202603~202803,신규,-,,,단독다가구
14,인천광역시 미추홀구 용현동,6**,25m미만,15,월세,202603,16,500,55,2015,토금중로29번길,202603~202803,신규,-,,,단독다가구
15,인천광역시 미추홀구 용현동,6*,12m미만,18.91,월세,202603,16,100,27,,경인남길102번길,202604~202701,신규,-,,,단독다가구
16,인천광역시 미추홀구 용현동,4*,8m미만,20,월세,202603,15,300,38,2014,재넘이길,202603~202702,신규,-,,,단독다가구
17,인천광역시 미추홀구 용현동,4*,12m미만,23.1,월세,202603,14,300,45,2001,인하로134번길,202603~202801,신규,-,,,단독다가구
18,인천광역시 미추홀구 용현동,6**,25m미만,30,전세,202603,13,"3,500",0,2002,토금남로,202603~202803,신규,-,,,단독다가구
19,인천광역시 미추홀구 용현동,6**,8m미만,23,월세,202603,11,300,30,2016,낙섬서로18번길,202604~202703,신규,-,,,단독다가구
20,인천광역시 미추홀구 용현동,6**,8m미만,23,월세,202603,11,500,41,1997,낙섬중로59번길,202604~202704,신규,-,,,단독다가구
21,인천광역시 미추홀구 용현동,8*,8m미만,20,월세,202603,10,300,35,,재넘이길,202603~202702,신규,-,,,단독다가구
22,인천광역시 미추홀구 용현동,6**,12m미만,16,월세,202603,10,300,35,2019,토금북로28번길,202603~202703,신규,-,,,단독다가구
23,인천광역시 미추홀구 용현동,4*,8m미만,27,월세,202603,9,300,45,,한나루로457번길,202603~202703,신규,-,,,단독다가구
24,인천광역시 미추홀구 용현동,8*,8m미만,25,월세,202603,9,200,32,2002,재넘이길,202603~202701,신규,-,,,단독다가구
25,인천광역시 미추홀구 용현동,3*,12m미만,17,월세,202603,9,300,38,1997,인하로163번길,202603~202702,신규,-,,,단독다가구
26,인천광역시 미추홀구 용현동,9*,8m미만,33,월세,202603,9,300,45,1990,인하로119번길,202603~202703,신규,-,,,단독다가구
27,인천광역시 미추홀구 용현동,6**,12m미만,23,월세,202603,7,300,30,2000,아암대로91번길,202603~202703,신규,-,,,단독다가구
28,인천광역시 미추홀구 용현동,9*,12m미만,15,월세,202603,7,300,45,2018,경인남길102번길,-,-,-,,,단독다가구
29,인천광역시 미추홀구 용현동,5**,8m미만,23.14,월세,202603,5,300,35,2002,능해길46번길,202603~202703,신규,-,,,단독다가구
30,인천광역시 미추홀구 용현동,9*,8m미만,20,월세,202603,5,50,40,2002,인하로91번길,202603~202607,신규,-,,,단독다가구
31,인천광역시 미추홀구 용현동,6**,8m미만,45,월세,202603,5,"1,000",60,2018,낙섬서로10번길,202604~202804,신규,-,,,단독다가구
32,인천광역시 미추홀구 용현동,6**,25m미만,45,월세,202603,4,"1,000",65,2018,토금남로,202603~202803,신규,-,,,단독다가구
